name,id,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
Bulbasaur,1,45,49,49,65,65,45,7,69,Grass,Poison
Ivysaur,2,60,62,63,80,80,60,10,130,Grass,Poison
Venusaur,3,80,82,83,100,100,80,20,1000,Grass,Poison
Charmander,4,39,52,43,60,50,65,6,85,Fire,
Charmeleon,5,58,64,58,80,65,80,11,190,Fire,
Charizard,6,78,84,78,109,85,100,17,905,Fire,Flying
Squirtle,7,44,48,65,50,64,43,5,90,Water,
Wartortle,8,59,63,80,65,80,58,10,225,Water,
Blastoise,9,79,83,100,85,105,78,16,855,Water,
Caterpie,10,45,30,35,20,20,45,3,29,Bug,
Metapod,11,50,20,55,25,25,30,7,99,Bug,
Butterfree,12,60,45,50,90,80,70,11,320,Bug,Flying
Weedle,13,40,35,30,20,20,50,3,32,Bug,Poison
Kakuna,14,45,25,50,25,25,35,6,100,Bug,Poison
Beedrill,15,65,90,40,45,80,75,10,295,Bug,Poison
Pidgey,16,40,45,40,35,35,56,3,18,Normal,Flying
Pidgeotto,17,63,60,55,50,50,71,11,300,Normal,Flying
Pidgeot,18,83,80,75,70,70,101,15,395,Normal,Flying
Rattata,19,30,56,35,25,35,72,3,35,Normal,
Raticate,20,55,81,60,50,70,97,7,185,Normal,
Spearow,21,40,60,30,31,31,70,3,20,Normal,Flying
Fearow,22,65,90,65,61,61,100,12,380,Normal,Flying
Ekans,23,35,60,44,40,54,55,20,69,Poison,
Arbok,24,60,95,69,65,79,80,35,650,Poison,
Pikachu,25,35,55,40,50,50,90,4,60,Electric,
Raichu,26,60,90,55,90,80,110,8,300,Electric,
Sandshrew,27,50,75,85,20,30,40,6,120,Ground,
Sandslash,28,75,100,110,45,55,65,10,295,Ground,
Nidoran-F,29,55,47,52,40,40,41,4,70,Poison,
Nidorina,30,70,62,67,55,55,56,8,200,Poison,
Nidoqueen,31,90,92,87,75,85,76,13,600,Poison,Ground
Nidoran-M,32,46,57,40,40,40,50,5,90,Poison,
Nidorino,33,61,72,57,55,55,65,9,195,Poison,
Nidoking,34,81,102,77,85,75,85,14,620,Poison,Ground
Clefairy,35,70,45,48,60,65,35,6,75,Fairy,
Clefable,36,95,70,73,95,90,60,13,400,Fairy,
Vulpix,37,38,41,40,50,65,65,6,99,Fire,
Ninetales,38,73,76,75,81,100,100,11,199,Fire,
Jigglypuff,39,115,45,20,45,25,20,5,55,Normal,Fairy
Wigglytuff,40,140,70,45,85,50,45,10,120,Normal,Fairy
Zubat,41,40,45,35,30,40,55,8,75,Poison,Flying
Golbat,42,75,80,70,65,75,90,16,550,Poison,Flying
Oddish,43,45,50,55,75,65,30,5,54,Grass,Poison
Gloom,44,60,65,70,85,75,40,8,86,Grass,Poison
Vileplume,45,75,80,85,110,90,50,12,186,Grass,Poison
Paras,46,35,70,55,45,55,25,3,54,Bug,Grass
Parasect,47,60,95,80,60,80,30,10,295,Bug,Grass
Venonat,48,60,55,50,40,55,45,10,300,Bug,Poison
Venomoth,49,70,65,60,90,75,90,15,125,Bug,Poison
Diglett,50,10,55,25,35,45,95,2,8,Ground,
Dugtrio,51,35,100,50,50,70,120,7,333,Ground,
Meowth,52,40,45,35,40,40,90,4,42,Normal,
Persian,53,65,70,60,65,65,115,10,320,Normal,
Psyduck,54,50,52,48,65,50,55,8,196,Water,
Golduck,55,80,82,78,95,80,85,17,766,Water,
Mankey,56,40,80,35,35,45,70,5,280,Fighting,
Primeape,57,65,105,60,60,70,95,10,320,Fighting,
Growlithe,58,55,70,45,70,50,60,7,190,Fire,
Arcanine,59,90,110,80,100,80,95,19,1550,Fire,
Poliwag,60,40,50,40,40,40,90,6,124,Water,
Poliwhirl,61,65,65,65,50,50,90,10,200,Water,
Poliwrath,62,90,95,95,70,90,70,13,540,Water,Fighting
Abra,63,25,20,15,105,55,90,9,195,Psychic,
Kadabra,64,40,35,30,120,70,105,13,565,Psychic,
Alakazam,65,55,50,45,135,95,120,15,480,Psychic,
Machop,66,70,80,50,35,35,35,8,195,Fighting,
Machoke,67,80,100,70,50,60,45,15,705,Fighting,
Machamp,68,90,130,80,65,85,55,16,1300,Fighting,
Bellsprout,69,50,75,35,70,30,40,7,40,Grass,Poison
Weepinbell,70,65,90,50,85,45,55,10,64,Grass,Poison
Victreebel,71,80,105,65,100,70,70,17,155,Grass,Poison
Tentacool,72,40,40,35,50,100,70,9,455,Water,Poison
Tentacruel,73,80,70,65,80,120,100,16,550,Water,Poison
Geodude,74,40,80,100,30,30,20,4,200,Rock,Ground
Graveler,75,55,95,115,45,45,35,10,1050,Rock,Ground
Golem,76,80,120,130,55,65,45,14,3000,Rock,Ground
Ponyta,77,50,85,55,65,65,90,10,300,Fire,
Rapidash,78,65,100,70,80,80,105,17,950,Fire,
Slowpoke,79,90,65,65,40,40,15,12,360,Water,Psychic
Slowbro,80,95,75,110,100,80,30,16,785,Water,Psychic
Magnemite,81,25,35,70,95,55,45,3,60,Electric,Steel
Magneton,82,50,60,95,120,70,70,10,600,Electric,Steel
Farfetchd,83,52,90,55,58,62,60,8,150,Normal,Flying
Doduo,84,35,85,45,35,35,75,14,392,Normal,Flying
Dodrio,85,60,110,70,60,60,110,18,852,Normal,Flying
Seel,86,65,45,55,45,70,45,11,900,Water,
Dewgong,87,90,70,80,70,95,70,17,1200,Water,Ice
Grimer,88,80,80,50,40,50,25,9,300,Poison,
Muk,89,105,105,75,65,100,50,12,300,Poison,
Shellder,90,30,65,100,45,25,40,3,40,Water,
Cloyster,91,50,95,180,85,45,70,15,1325,Water,Ice
